SMSes,Labels
unbelievable holi offer get flat  points back on your spends using state bank of india debit card at any max get more partner store including lifestyle  grt  dominos  morechoose from  partner stores to avail offer  to view list of partners  click here mymaxmigr hurry offer valid till th mar tc,1
Flat 40% OFF on Selected Products!! Click bit.ly/FLAT40OFF to Buy Now. T&Cs apply,1
kalyan jewellers annual sale may  to  bumper  flat off on diamond jewellery  rs cash back on every rs purchase tc apply,1
most amazing township on nh starting frm lac bhkfew units left in ur own organic homes for confirm inventory myvaluehomescom or call ,1
BLOCKED For SECURITY REASONS Apply for New EVM CHIP Card or ACTIVATION CALL=8818948841,1
click httpappmyairteltvin to download the free tv app  watch  popular tv channels on ur data enabled airtel mobileenjoy  channel for free zero rentalstrmng chrgs apply,1
block your dates home decor fest to  feb at home centre  flat offdouble bedsheet  pcs cutlery set visit store for never before offers tc,1
use code extra to enjoy flat   extra  off hurry  only for  hours httpmsgmnrhkqjdgklxocvh,1
Congratulation Your 9509XXXX34 be select for Rs 2000.00 directly in your Account Register now to use it TnC http://m4sg.com Ippjnnliqhp,1
enjoy x reward points per rs  spent on all insurance premium spends with your card sms ins to  from your registered mobile number offer valid from  feb to  mar  terms apply,1
Don't show it to anyone!,0
Recently Qaraar actress Sanam Jung clicked pictures with her beautiful daughter! Tap the link: http://l.jazzmobilemag.pk/Cf06wkU/2418,1
The Legend Of Maula Jatt beats Akshay and Sidharth Malhotra Films! Click for details: http://p.jazzmobilemag.pk/ibaltQ0/1136,1
fast weight loss without dieting upto  kg   inches in  days with ayurved govt apprvd no side effect money back or jankari ke leye sms kare fit to ,1
 hour sale pack of  formal shirts rs only offer valid from  pm to  pmwatch homeshop  at pm today call  or click bitlynppj,1
"Hey man, DaMENSCH order dispatched! With FREE Speakers! Make it happen with Innerwear at upto 20% off and use code: FREE-SPEAKERS u1.mnge.co/AqoEyA8",1
"I have read the paper, will start working accordingly",0
glow this summer  watch  pc asmara gold facial kit   on shop cj today at  noon exclusive deal to order call now  no std chrgs,1
DEAR WINNER YOUR WHATS APP NO HAS WON RS X CRORE XX LAKH IN THE WHATSAPP GLOBAL AWARD 2019.FOR CLAIM SEND NAME ADD MOB NO JOB AGE TO EMAIL,1
NHS You be eligible to apply for your NHS COVID pas To apply for your pas please go to nhs.digital-get-pass.com Failure to apply may result in a fine,1
TymeBank A third-party payment have be schedule to be debit from your account by the end of today TAP http://bit.ly/tymbnksredirect to view.T C 's apply,1
 How's the new job going? Hope you're settling in well.,0
cool got it i will leave around   from here,0
 Tgif! Ready 4 da weekend?,0
Verizon Free Msg Sept bill process Thanks Micha Here 's a little gift for you http://XXXXX,1
dear good morning  if you submit  premium tomorrow you will win gift card worth rs  in sip one lac premium will get you gift card worth  tomorrow we as a team is looking for  lacs of business submission your contribution matters a lot please do your best hari ,1
going outswad for dinner  pm sharp plz assemble at i base  pm,0
YOU ARE SELECTED TO GET 1.75 CRORE FROM FORD MOTORS UK PROMOTION XXXX TO RECEIVE SEND YOUR NAME MOBILE NO ADDRESS AGE OCCUP TO EMAIL,1
i need some guidance in this regard,0
Sarah Khan and Imran Ashraf will be together on TV for a new drama series! Click this free video link: http://l.jazzmobilemag.pk/XqOr4DN/4da7,1
special offer  dial  tollfree and get free recharge of rs,1
hi jaspreetbccceaacececfc get  off use coupon ebayappp on ebay android app only valid till   max discount of  download app http ebay to favbip,1
hi preeti gupta  hope you had a great lenskart experience give a missed call on the respective number to tell us if your experience was  excellent    good    poor    click here to reduce sms updates for your order httpcoxs,1
Vodafone Payment for your late bill could not be process by your bank Please update your pay ment information via http://vodafone.bill84.com v=2,1
I work with Lombard Bank.Cani trust you with a business worth 18.5 million reply ONLY to my email r43an3Ä¯gmail.com,1
Powai 5min Vikroli Rly Stn 2min Prop Metro Stn JVLR 2min Home Automation Intelligence Zone Automatic Parking Terrace Pool Fully A C Homes Great Offers on 1BHK 2BHK 3.5BHK spacious home,1
sure i am sry for all these things,0
M T ALERT-For your protection due to unusual activity in your account s your account as be temporarily disabled visit mt-assist.us to restore your account,1
NOTICE Blanca Your Early Bird Black Friday order will arrive tomorrow 04.x b Y,1
Dear Customer Your SBI Bank Account Has Been Suspended for Verification Please Complete Your KYC By Click Here Link http://141.255.159.215/sbibank,1
lookslady black embroidered net  of snapdeal order no  is ready with seller  will be shipped anytime within  hrs for better experience  download the app bitlyhwq,1
Australian Government 's COVID-19 Vaccines Adverse Events Report click link Uapta.info Authorised by Craig Kelly,1
Hi SONU Free Registration for BNAT be now open BNAT India 's Largest Aptitude Scholarship Test for Class XX student Get Upto XXX Scholarship on BYJU 'S Courses Visit bit.ly/BNAT-Register-Free,1
May Allah bless you and your family lots of happiness. Ameen,0
jadeblue simply irresistible offer flat  off  jan  to  only hurry dont miss it get the latest in mens fashion select merchandise tc apply,1
new year offer buy  get  buy  get  and buy   get upto  off exclusively at van heusen south avenue mall jabalpur tc apply,1
honorholly plus cdmag smartphone mah batterymp camera  get  off on postpaid connection buy flipkart  amazon tc rcom,1
be attempt on 27/06 at 15:07 If this be not you proceed at http://santan.auth-id-30.com,1
Mapillai starring Dhanush   Now open at www.ticketnew.com   book tickets at Sangam   Abirami  Devi  Kamala  Kasi  Rakki  Vettri and other theatres only in ticketnew.com ,1
 Cud u hlp me w/ dis task?,0
What is the injury level? ,0
Dear user your SBI YONO Account will be block today Please click here link update your PAN CARD Number Thank you SBI http://zcvbnm.online,1
special offers for yourc   more than full talk time unlimited validity hurry recharge now,1
get lockable office instead of virtual space in just  lacs  per month assured return iconic tower  sec  noida call  ,1
"Hina Javed congratulated sister Sana Javed on winning PISA Award 2020! For details, click the link: http://l.jazzmobilemag.pk/z8DzliA/892e",1
dea g is here get high speed g sim delivered at your doorstep  win upto gb click here httpsgooglfqirla,1
hello  your friend pooja wadkar has invited you to join roposo download the app  wwwroposocomappuseridpoojawadkar,1
 I'm feeling nostalgic today. Missing the good old days.,0
rksv now accepts shares as collaterals check your email for details download our new mobile app upstox pro at googldwwaqr to trade  call ,1
live in godrej smart home in keshav nagar  pune only  lac  bhk with  side view nr mula mutha river get attractive offer on booking call ,1
rs talktime rs talktime on airtel retailer recharge offer valid till jun recharge today enjoy  airtel minutes for  days at rs,1
"RMO UMobile: Hooray! Your plan is upgraded to Giler Unlimited GX68! Download MyUMobile App @ u.my/uapp to check bill, usage, rewards and more ",1
This be an important message from Brighton Hove City Council regard your council tax payment Click here https://textm .co t bewgu for further information,1
hi your janasya blue faux chiffon saree has been delivered thank you for shopping at snapdeal download app for more offers httpbitlyhwq,1
"Hussain Rehar ""Karandi"" autumn winter unstitched'22 is Live https://XXXX on LAAM. Limited stock available",1
Most welcome. Thanks for the reminder,0
congrats u have  free mins valid for todayto check dial  tollfree get xtra talk time on rsrstt  rs  rstt  xtra tt in hrlimited offer,1
dear customer own a  bhk home in gaur city  noida ext only   lac spcl offer get free fully furnishing till may book now in l call ,1
"Congratulations you be The winner of Flipkart Online shopping.you have Won the price TATA SAFARI Which cost be Rs 12,80000 the charge of your Registration Service be only 8,500 This be valid for today.day For know for detail contact At 24X7 Helpline no XXXXXXXXXX Toll free number XXXXXXXXXX",1
Dear SBI user your SBI YONO Account will be block today Please click here link update your PAN CARD Number Thank you SBI http://bit.ly/3kFrHP9,1
XXXX XXX XXX Your package be deliver to the pickup point You can pick up your parcel here http://grrridiots ...,1
and thats y u shud giv an awesome farewell to it ,0
dear customer flat rs off on www bigbasket com with hdfc bank creditcard usecode bbhdfc valid sep  on orders above rs t c http bit ly jsly,1
talk more get full talktime at rs get full talktime at rs offer till apr dial  or visit myairtel appcharges apply bitlymyairtel,1
download the myntra app enjoy the best of rush hour with flat  off on styles only today http goo gl ioqcac t c apply,1
hi sunil  you can now use new justdial app to search  shop  order online you get free ticket for latest superhit movie at pvr if you download  regist,1
"hiring manager and I 'm currently hire a part-time team Wages be pay daily You can work from home and earn between 1,000 and 50,000 peso a day The job be simple and can be do anytime anywhere To apply for a job click on the Whatsapp link WhatsApp",1
Lenskart 's END OF SEASON SALE Upto XX OFF on the Season 's best Eyeglasses and Sunglasses Saturday Sunday Only App Iskt.me/p3 Store Iskt.me/o3 T C,1
portin to delhis only g network  get airtel postpaid with mins sms for  rental mins sms gb g data for contact  sameer,1
Fri XX Apr 7:27 be Your NAB account have be temporarily block for unusual GPRS activity Please confirm your device at www.nab aus.com and follow the unlock procedure,1
Sun X Sep 4:54 pm Australian Government 's COVID-19 Vaccines Adverse Events Report click link Uaptga.info Authorised by Craig Kelly,1
mts g wifi data card offer  mbps gb unlimited at rs per month order now and get free powerbank   paytm cash back call now,1
